train_id,block_id,speed,dist_remaining,current_delay,hour_of_day,weather_code,priority,actual_time_remaining,next_delay,timestamp
TRN-010,BLK-012,109.0210226411588,8.107219693562529,19.778624897347722,20,2,0,3.6962051940465663,19.013000897085224,2023-01-27T18:23:00
TRN-009,BLK-006,38.76671163306439,33.27452704417083,2.07189380686509,4,0,0,56.61959618910172,7.191851812896216,2023-07-12T22:17:00
TRN-005,BLK-004,95.04879803751611,49.79557746874522,12.191673256461396,21,0,1,20.91580101841949,1.6737822155089859,2023-07-10T22:19:00
TRN-008,BLK-011,36.67635539773478,98.74741084112941,11.964481430138537,16,1,0,202.5926794153618,53.01317463923468,2023-11-04T21:01:00
TRN-005,BLK-015,106.55885997527936,92.50141053972551,3.735137341000731,22,2,1,59.66286213609552,11.313314696580607,2023-08-10T17:01:00
TRN-004,BLK-011,47.86024562702495,69.89150214472946,5.996218638429392,23,2,1,105.29113055701212,23.667863048971448,2023-01-29T20:38:00
TRN-010,BLK-004,98.68090388937124,69.94510643674663,0.20934788838184065,3,0,1,31.27295728402158,-11.045744539318145,2023-04-07T17:56:00
TRN-008,BLK-018,34.84139268596212,45.67949053719252,16.561770663074107,4,0,0,77.3261052924724,15.223700360297435,2023-12-25T22:30:00
TRN-007,BLK-011,45.381806668535255,2.3975893907117074,30.742523314253866,8,0,0,11.862680049917419,39.43531274052535,2023-07-18T18:07:00
TRN-010,BLK-011,35.28860031248782,44.51254524597053,5.042049776010284,14,1,1,78.23802070808739,7.5969124356580515,2023-08-01T08:13:00
TRN-004,BLK-013,73.16562379356165,63.1422681883919,15.929399562723987,18,1,0,62.81421161137355,26.963336574198706,2023-09-13T07:55:00
TRN-007,BLK-016,79.05055035656466,74.31656810703008,14.077709797900763,8,2,0,82.05575191310741,39.7265921027751,2023-12-25T19:34:00
TRN-002,BLK-006,38.78912938641594,51.96291500952221,1.2700146051506211,15,0,0,78.63473555871398,-0.47279245928038427,2023-01-10T20:13:00
TRN-009,BLK-003,30.220494668119805,6.81105484454122,12.61546106285152,14,1,0,20.680300141015906,19.77304110413391,2023-09-21T23:22:00
TRN-002,BLK-006,24.006553675184534,60.20313536155773,4.083825779220003,9,2,1,182.51053864137407,36.127613942062595,2023-06-10T00:01:00
TRN-008,BLK-010,110.59814579247781,86.74317995057679,0.16728641487165993,1,0,1,46.254564948701585,-0.6367205477525117,2023-09-01T02:24:00
TRN-009,BLK-005,30.749195356758346,29.36013896602955,0.9213826822561451,11,0,0,52.00276540326428,-4.365427056958551,2023-06-23T17:52:00
TRN-002,BLK-004,111.68680463051277,75.04411494469542,5.277023678308917,16,2,1,58.13090527100498,23.09298832962671,2023-06-07T19:25:00
TRN-001,BLK-016,24.91662317919558,31.972014095084745,6.6245873511402555,12,0,1,60.05579776712613,-10.309214632425707,2023-02-10T19:32:00
TRN-003,BLK-004,76.4715114759936,34.42039695590652,11.739978626925092,11,2,0,48.23264480968238,32.96617649325499,2023-04-01T10:39:00
TRN-002,BLK-009,112.58200628058873,66.73281156803532,3.5660860362910043,23,1,1,40.061806184052,8.062984235820089,2023-08-25T08:31:00
TRN-002,BLK-006,69.25664715811018,69.57031434208186,3.8805968789256533,15,1,0,70.66530440505504,14.274157966760393,2023-02-26T16:53:00
TRN-008,BLK-018,68.76713540783715,11.358853397335933,2.7334026119591814,8,0,0,15.36618263643064,8.188874269981314,2023-08-05T04:39:00
TRN-005,BLK-009,32.07871781994959,13.972129204264084,0.10349094465321504,10,0,0,19.268376371240713,-6.761588421370403,2023-06-05T18:16:00
TRN-005,BLK-010,77.4382836686726,43.6390166595051,4.608039284534181,10,0,0,35.478539826777045,6.274608138747597,2023-11-19T12:28:00
TRN-010,BLK-007,65.5764171474126,84.13114633893109,10.29548944770215,15,2,0,115.90510101228605,49.223698462541904,2023-02-24T09:42:00
TRN-010,BLK-010,118.28534858155726,42.6186439983895,8.858687908583484,4,1,0,26.694281000650484,13.934749319339051,2023-04-05T00:08:00
TRN-003,BLK-016,38.66851800790748,26.959316298063985,2.419454404268486,7,2,0,62.139992891896696,22.72802832238765,2023-02-18T10:16:00
TRN-010,BLK-014,98.64214550371523,9.225858810457,0.06265807133310765,15,2,0,4.928842408175534,-0.6202137203469485,2023-12-05T07:40:00
TRN-001,BLK-009,98.59409737933731,13.058876642422979,11.069422838566016,20,2,1,6.12445734281772,9.246826357960973,2023-09-02T21:58:00
TRN-004,BLK-015,104.22821794536411,1.4314300851088424,15.351394360323132,6,0,1,3.6016316465654232,18.12900918304195,2023-01-16T05:52:00
TRN-007,BLK-010,21.471725628365938,36.62743089793121,1.652563566092919,17,2,1,124.8305344566245,24.13241173355399,2023-01-11T12:25:00
TRN-002,BLK-014,86.95655788266978,83.3639926955046,11.611563575578327,18,0,1,45.30349833230872,-0.6060691433125989,2023-07-11T18:33:00
TRN-005,BLK-005,65.03178926579419,70.35309571948707,1.2102833462217588,2,2,1,82.65947983953173,18.960189101659978,2023-06-09T08:56:00
TRN-008,BLK-020,100.24897305490161,84.24778939310387,13.781522963396448,10,2,0,78.94938778820986,42.307777131894106,2023-10-22T00:13:00
TRN-005,BLK-001,99.12882229199809,35.81583851435715,1.197724819999884,10,2,1,30.4310215561476,9.95038622644865,2023-11-22T04:00:00
TRN-009,BLK-013,49.063570251633074,88.88324924385887,0.4431877174374861,12,2,1,126.68680790205765,18.43438037420987,2023-10-06T07:55:00
TRN-006,BLK-011,100.86032367921884,57.16525163774251,5.693254458338311,14,0,1,25.821113406990378,-2.4922164202147723,2023-05-01T10:36:00
TRN-007,BLK-013,49.250152800506314,4.671845473708258,1.7082152776111936,14,2,0,12.167566481462266,8.184211023081474,2023-12-12T15:07:00
TRN-004,BLK-009,94.93428042661401,36.04583771350012,6.019287600109848,3,1,1,16.70608560812733,-0.056178967553041304,2023-09-07T11:09:00
